fid,canton,prefecture,region,lat,lon,superficie_km2,points_service,dist_service_km,dist_agence_km,classe_acces
cantons.D03087265,Boufalé,Binah,Kara,9.845793683543397,1.2993534503953286,84.5,5,3.18,22.79,2 – 5 km
cantons.D03087266,Pitikita,Binah,Kara,9.761365213709862,1.2471994904291792,41.1,2,2.41,15.29,2 – 5 km
cantons.D03087267,Lama-Dessi,Binah,Kara,9.719261448070561,1.2646904748822716,46.8,12,2.24,17.95,2 – 5 km
cantons.D03087268,Pagouda,Binah,Kara,9.754328076197151,1.3269625591463867,105.1,47,0.09,24.07,< 2 km
cantons.D03088269,Sirka,Binah,Kara,9.556556409732378,1.310909077352526,101.7,11,1.76,13.49,< 2 km
cantons.D03088270,Kétao,Binah,Kara,9.645373169140793,1.3159832438078372,40.3,99,0.95,17.72,< 2 km
cantons.D03088271,Kémérida,Binah,Kara,9.645507576150537,1.3505668886099802,23.5,9,2.15,20.88,2 – 5 km
cantons.D04089272,Naompoch,Dankpen,Kara,9.817892369591842,0.6547815144954886,155.6,8,0.78,15.32,< 2 km
cantons.D05092290,Canton D05092290 (non nommé),Doufelgou,Kara,9.974839588353221,1.252098513823892,171.4,0,13.32,21.71,> 10 km
cantons.D04089273,Katchamba,Dankpen,Kara,9.892068126909589,0.5311312805526731,141.7,7,0.55,24.2,< 2 km
cantons.D04089274,Guérin-Kouka,Dankpen,Kara,9.697767805221218,0.5892142633876196,278.9,96,0.96,2.42,< 2 km
cantons.D04089275,Koulféikou,Dankpen,Kara,9.942078584089515,0.4027328943625503,147.9,11,2.25,36.13,2 – 5 km
cantons.D04090276,Namon,Dankpen,Kara,9.707656158936635,0.8222606576160036,108.1,10,2.67,23.57,2 – 5 km
cantons.D04090277,Natchiboré,Dankpen,Kara,9.815470126595864,0.7900905498006592,202.0,6,1.89,24.46,< 2 km
cantons.D04090278,Natchitikpi,Dankpen,Kara,9.717944441867864,0.7303976660672554,102.7,7,2.92,13.8,2 – 5 km
cantons.D04090279,Koutchitchéou,Dankpen,Kara,9.626388119026817,0.7413945226091672,128.1,8,3.4,16.07,2 – 5 km
cantons.D04091280,Nawaré,Dankpen,Kara,9.615393040054757,0.5437654679049034,242.3,5,9.13,10.67,5 – 10 km
cantons.D04091281,Bapuré,Dankpen,Kara,9.498082361057019,0.5798567119039444,238.2,20,3.51,21.17,2 – 5 km
cantons.D04091282,Nandouta,Dankpen,Kara,9.54637686534769,0.37925015484832214,410.8,5,0.87,29.62,< 2 km
cantons.D05092291,Koka,Doufelgou,Kara,9.779111640929074,1.1513865407419244,33.5,6,2.29,4.99,2 – 5 km
cantons.D05093292,Léon,Doufelgou,Kara,9.68266759110779,0.9649445999604908,119.4,7,2.83,18.18,2 – 5 km
cantons.D05093293,Alloum,Doufelgou,Kara,9.740726170849653,0.9625746956421892,109.1,15,2.67,16.19,2 – 5 km
cantons.D04091283,Kidjabou,Dankpen,Kara,9.788864946510817,0.44961487803764993,457.8,7,1.41,20.76,< 2 km
cantons.D05092284,Siou,Doufelgou,Kara,9.816472880209066,1.194622484587857,55.9,25,0.42,11.05,< 2 km
cantons.D05092285,Agbandè-Yaka,Doufelgou,Kara,9.708353848918781,1.083231299856562,100.9,4,3.43,6.9,2 – 5 km
cantons.D05092286,Niamtougou,Doufelgou,Kara,9.756640352514468,1.116221115667311,43.6,65,0.18,1.35,< 2 km
cantons.D05092287,Ténéga,Doufelgou,Kara,9.832282158916863,1.1400688491341657,31.1,3,1.45,8.17,< 2 km
cantons.D05092288,Baga,Doufelgou,Kara,9.803179408370484,1.092125013138191,28.3,11,0.75,4.5,< 2 km
cantons.D07098315,Bohou,Kozah,Kara,9.62162734371329,1.1872273961274924,34.1,20,2.66,7.99,2 – 5 km
cantons.D05093294,Kadjalla,Doufelgou,Kara,9.813805223319779,0.9277887584969982,214.3,15,2.7,20.47,2 – 5 km
cantons.D05093295,Tchoré,Doufelgou,Kara,9.850384823533325,1.0068728472765924,24.0,3,1.14,12.78,< 2 km
cantons.D05094296,Défalé,Doufelgou,Kara,9.927530872014609,1.1251817628831664,128.6,27,4.16,8.29,2 – 5 km
cantons.D05093297,Kpaha,Doufelgou,Kara,9.887998150851057,1.1575073573226906,59.5,3,3.83,13.5,2 – 5 km
cantons.D06094298,Kantè,Kéran,Kara,9.963678756782464,1.0596548391997422,200.0,77,0.37,1.03,< 2 km
cantons.E02104333,Borgou,Kpendjal,Savanes,10.788003915424659,0.626772810953742,388.5,5,1.06,47.05,< 2 km
cantons.D06094299,Pessidè,Kéran,Kara,10.066075582005336,0.9171567751642269,544.4,8,7.4,18.71,5 – 10 km
cantons.D06094300,Akpontè,Kéran,Kara,10.199278070071985,0.922393694849077,146.7,6,1.87,24.19,< 2 km
cantons.D06095301,Hélota,Kéran,Kara,9.94419815245553,0.7363278422657633,257.3,13,0.89,31.7,< 2 km
cantons.D06095302,Ossacré,Kéran,Kara,10.067478593248104,0.7515701761446842,127.5,17,2.09,29.25,2 – 5 km
cantons.D06095303,Ataloté,Kéran,Kara,9.930126015073261,0.8888796972325079,229.9,8,0.22,17.89,< 2 km
cantons.D06096304,Nadoba,Kéran,Kara,10.151078126007251,1.038316056446924,115.9,9,4.33,21.26,2 – 5 km
cantons.D06096305,Warengo,Kéran,Kara,10.071633275378245,1.1205059786896532,74.9,1,3.52,14.69,2 – 5 km
